web-scraper-order;web-scraper-start-url;article_links;article_links-href;details;etat;adresse,;prix;lien_image-src
1750449434-1;https://www.expat-dakar.com/refrigerateurs-congelateurs?page=150;"PROMO CONGÉLATEUR 300LITRES DESKA HORIZONTAL
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        12. mai, 13:28
                                    
                    169?000 F Cfa
                        
                        784626090
                    
                        784626090";https://www.expat-dakar.com/annonce/promo-congelateur-300litres-deska-horizontal-6146382;PROMO CONGÉLATEUR 300LITRES DESKA HORIZONTAL;Neuf;"Plateau
            
                Dakar";169?000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/d27336d08ebf2b2159411e4e49706aad/-/horizon-files-prod/ed/picture/qpdmgg6p/448f72d20be7da3083b9bde5eabb1fdf852f2793.jpg
1750449437-2;https://www.expat-dakar.com/refrigerateurs-congelateurs?page=150;"PROMO CONGÉLATEUR 250LITRES DESKA HORIZONTAL VITRINE
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        12. mai, 14:00
                                    
                    149?000 F Cfa
                        
                        777510319
                    
                        777510319";https://www.expat-dakar.com/annonce/promo-congelateur-250litres-deska-horizontal-vitrine-6146394;PROMO CONGÉLATEUR 250LITRES DESKA HORIZONTAL VITRINE;Neuf;"Plateau
            
                Dakar";149?000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/33150c79dcc28281bb7924aca5b66d73/-/horizon-files-prod/ed/picture/qweprr25/5bde0c0952fbc6636a0c07a4d64d55cefbd89b07.jpg
1750449439-3;https://www.expat-dakar.com/refrigerateurs-congelateurs?page=150;"PROMO CONGÉLATEUR 200LITRES DESKA HORIZONTAL SILVER
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        mercredi, 17:44
                                    
                    129?000 F Cfa
                        
                        776862827";https://www.expat-dakar.com/annonce/promo-congelateur-200litres-deska-horizontal-silver-6146400;PROMO CONGÉLATEUR 200LITRES DESKA HORIZONTAL SILVER;Neuf;"Plateau
            
                Dakar";129?000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/868c2e7e08f58a3b3c151a22c45f8260/-/horizon-files-prod/ed/picture/q6xdqqkp/812c2e0165dc12d31f8d97e1430812bcadbd1cc9.jpg
1750449443-4;https://www.expat-dakar.com/refrigerateurs-congelateurs?page=150;"PROMO RÉFRIGÉRATEUR 85LITRES DESKA BAR 2PORTES NOIR SILVER
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        12. mai, 13:28
                                    
                    89?000 F Cfa
                        
                        784626090
                    
                        784626090";https://www.expat-dakar.com/annonce/promo-refrigerateur-85litres-deska-bar-2portes-noir-silver-6146409;PROMO RÉFRIGÉRATEUR 85LITRES DESKA BAR 2PORTES NOIR SILVER;Neuf;"Plateau
            
                Dakar";89?000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/08075d159faf0487eec3ce8f2b611374/-/horizon-files-prod/ed/picture/q44n55n5/c674bf7991d0de24e9553c691212ab9514306ad8.jpg
1750449446-5;https://www.expat-dakar.com/refrigerateurs-congelateurs?page=150;"PROMO RÉFRIGÉRATEUR SMART TECHNOLOGY SIDE BY SIDE 4PORTES
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        3. mai, 09:42
                                    
                    1?700?000 F Cfa
                        
                        774714823";https://www.expat-dakar.com/annonce/promo-refrigerateur-smart-technology-side-by-side-4portes-6147106;PROMO RÉFRIGÉRATEUR SMART TECHNOLOGY SIDE BY SIDE 4PORTES;Neuf;"Plateau
            
                Dakar";1?700?000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/bb37bdd735ee0246b0e65a830b39e2c2/-/horizon-files-prod/ed/picture/qweprg9d/d7148f5970afc96357410d3486b14eac3df48e0d.jpg
1750449450-6;https://www.expat-dakar.com/refrigerateurs-congelateurs?page=150;"PROMO RÉFRIGÉRATEUR 942LITRES SMART TECHNOLOGY VITRINE
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. mai, 16:46
                                    
                    975?000 F Cfa
                        
                        783050985";https://www.expat-dakar.com/annonce/promo-refrigerateur-942litres-smart-technology-vitrine-6147123;PROMO RÉFRIGÉRATEUR 942LITRES SMART TECHNOLOGY VITRINE;Neuf;"Plateau
            
                Dakar";975?000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/d4b4b1ff79b23b4007651d8216c8a178/-/horizon-files-prod/ed/picture/q78wjp4q/7cb0daef34743502433e8e3411176aa91848fbff.jpg
1750449453-7;https://www.expat-dakar.com/refrigerateurs-congelateurs?page=150;"PROMO RÉFRIGÉRATEUR 556LITRES SMART TECHNOLOGY SIDE BY SIDE
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. mai, 17:31
                                    
                    649?000 F Cfa
                        
                        770723466";https://www.expat-dakar.com/annonce/promo-refrigerateur-556litres-smart-technology-side-by-side-6147146;PROMO RÉFRIGÉRATEUR 556LITRES SMART TECHNOLOGY SIDE BY SIDE;Neuf;"Plateau
            
                Dakar";649?000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/56c6a684a7a632be41607760f0dc064c/-/horizon-files-prod/ed/picture/qv4wdgrj/00b74d04a1bd00d4c91d8227de7f8c5c2db26151.jpg
1750449456-8;https://www.expat-dakar.com/refrigerateurs-congelateurs?page=150;"PROMO CONGÉLATEUR 980LITRES SMART TECHNOLOGY HORIZONTALE
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        8. mai, 14:46
                                    
                    649?000 F Cfa
                        
                        781066640
                    
                        781066640";https://www.expat-dakar.com/annonce/promo-congelateur-980litres-smart-technology-horizontale-6147150;PROMO CONGÉLATEUR 980LITRES SMART TECHNOLOGY HORIZONTALE;Neuf;"Plateau
            
                Dakar";649?000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/cf4d294ba1e4d385a1b65e837e82efd6/-/horizon-files-prod/ed/picture/qweprgxd/634c0e43be376078322ae863a2149e66e68802a2.jpg
1750449458-9;https://www.expat-dakar.com/refrigerateurs-congelateurs?page=150;"PROMO RÉFRIGÉRATEUR 337LITRES SMART TECHNOLOGY SIDE BY SIDE
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        12. mai, 13:28
                                    
                    559?000 F Cfa
                        
                        784626090
                    
                        784626090";https://www.expat-dakar.com/annonce/promo-refrigerateur-337litres-smart-technology-side-by-side-6147161;PROMO RÉFRIGÉRATEUR 337LITRES SMART TECHNOLOGY SIDE BY SIDE;Neuf;"Plateau
            
                Dakar";559?000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/2eebfb5b36dfba5c2a4f41ba68d23535/-/horizon-files-prod/ed/picture/q2j0k7xg/c19f5f812c28b79406fea1597fe66bd6da701c30.jpg
1750449461-10;https://www.expat-dakar.com/refrigerateurs-congelateurs?page=150;"PROMO RÉFRIGÉRATEUR SMART TECHNOLOGY SIDE BY SIDE 2PORTES
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        12. mai, 13:41
                                    
                    479?000 F Cfa
                        
                        776096472
                    
                        776096472";https://www.expat-dakar.com/annonce/promo-refrigerateur-smart-technology-side-by-side-2portes-6147188;PROMO RÉFRIGÉRATEUR SMART TECHNOLOGY SIDE BY SIDE 2PORTES;Neuf;"Plateau
            
                Dakar";479?000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/cc476ff2455743e46fbd29b44eeb5b0a/-/horizon-files-prod/ed/picture/q6xdqn98/dae30a9973b3869cbf656b13c73b04c41aac27f3.jpg
