web-scraper-order;web-scraper-start-url;articles_links;articles_links-href;details;adresse;prix;etat;image-src
1750682278-1;https://www.expat-dakar.com/cuisinieres-fours?page=128;"CUISINIÈRE ASTECH 6 FEUX
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        24. avr., 15:21
                                    
                    179?000 F Cfa
                        
                        783860578";https://www.expat-dakar.com/annonce/cuisiniere-astech-6-feux-4914536;CUISINIÈRE ASTECH 6 FEUX;"Plateau
            
                Dakar";179?000 F Cfa;Neuf;https://i.roamcdn.net/hz/ed/listing-thumb-543w/1181088f1ff285e7a037eade8dbecf3c/-/horizon-files-prod/ed/picture/qkw9vmm/ab4d99858842d1f225e26ce46c03b30e124ebd49.jpg
1750682281-2;https://www.expat-dakar.com/cuisinieres-fours?page=128;"Barbecue Fumoir, 3 en 1  Multifonctions
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        mardi, 10:10
                                    
                    29?900 F Cfa
                        
                        771653764";https://www.expat-dakar.com/annonce/barbecue-fumoir-3-en-1-multifonctions-5100905;Barbecue Fumoir, 3 en 1  Multifonctions;"Plateau
            
                Dakar";29?900 F Cfa;Neuf;https://i.roamcdn.net/hz/ed/listing-thumb-543w/ac2286faed58f35ba62bda3594b724c4/-/horizon-files-prod/ed/picture/qnregg0/4637f5b54269595d9d22766c5c6194396fb238bc.jpg
1750682284-3;https://www.expat-dakar.com/cuisinieres-fours?page=128;"SPLIT ELACTRON 12000BTU 1.5CV GAZ 410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        24. avr., 16:14
                                    
                    179?000 F Cfa
                        
                        768882180";https://www.expat-dakar.com/annonce/split-elactron-12000btu-15cv-gaz-410-5274781;SPLIT ELACTRON 12000BTU 1.5CV GAZ 410;"Plateau
            
                Dakar";179?000 F Cfa;Neuf;https://i.roamcdn.net/hz/ed/listing-thumb-543w/36a8c9377e486014d140273dc1b4aaac/-/horizon-files-prod/ed/picture/qj4mwxpe/f1cb51e0ab367cd0b2bf7d2f825d38332c5dab41.jpg
1750682286-4;https://www.expat-dakar.com/cuisinieres-fours?page=128;"Micro ondes 20ltr
                                Neuf
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        samedi, 08:14
                                    
                    45?000 F Cfa
                        
                        785821605";https://www.expat-dakar.com/annonce/micro-ondes-20ltr-5300359;Micro ondes 20ltr;"Point-e
            
                Dakar";45?000 F Cfa;Neuf;https://i.roamcdn.net/hz/ed/listing-thumb-543w/46dfc96ed6e5f1cf2093f197a270f8d4/-/horizon-files-prod/ed/picture/qj4mderz/99d96a2b35e413d12e37339745d7e45375a44199.jpg
1750682289-5;https://www.expat-dakar.com/cuisinieres-fours?page=128;"Friteuse à air numérique RAF 8L
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        24. mai, 21:09
                                    
                    45?000 F Cfa
                        
                        771653764";https://www.expat-dakar.com/annonce/friteuse-a-air-numerique-raf-8l-5363470;Friteuse à air numérique RAF 8L;"Plateau
            
                Dakar";45?000 F Cfa;Neuf;https://i.roamcdn.net/hz/ed/listing-thumb-543w/c2a60d719a5cc33bbb44bdbada88c920/-/horizon-files-prod/ed/picture/q9m0ez68/a29b1d7cfdbb84f1e31f28651b70c1ea31da97af.jpg
1750682291-6;https://www.expat-dakar.com/cuisinieres-fours?page=128;"CUISINIÈRE REALCE 4 FEUX 50X50 WHITE
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        26. avr., 17:09
                                    
                    89?000 F Cfa
                        
                        774714823";https://www.expat-dakar.com/annonce/cuisiniere-realce-4-feux-50x50-white-5367883;CUISINIÈRE REALCE 4 FEUX 50X50 WHITE;"Plateau
            
                Dakar";89?000 F Cfa;Neuf;https://i.roamcdn.net/hz/ed/listing-thumb-543w/6a3dc0e17940921ba6fad90133d18e5e/-/horizon-files-prod/ed/picture/q2jz4r9v/8d79afdc3c40b4788bdbb639decc6cf67363e55a.jpg
1750682293-7;https://www.expat-dakar.com/cuisinieres-fours?page=128;"Friteuse Sans Huile Air Fryer Capacité de 5,0 L
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        24. mai, 21:08
                                    
                    35?000 F Cfa
                        
                        771653764";https://www.expat-dakar.com/annonce/friteuse-sans-huile-air-fryer-capacite-de-50-l-5391432;Friteuse Sans Huile Air Fryer Capacité de 5,0 L;"Plateau
            
                Dakar";35?000 F Cfa;Neuf;https://i.roamcdn.net/hz/ed/listing-thumb-543w/62d66a674c239aaffecba16fe9394171/-/horizon-files-prod/ed/picture/qrzz266q/954f6a29d4c31def4e05d713feec6308c621e8f0.jpg
1750682296-8;https://www.expat-dakar.com/cuisinieres-fours?page=128;"Cuisinière à Gaz Avec Étagère - 4 Feux
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        mardi, 10:06
                                    
                    40?000 F Cfa
                        
                        771653764";https://www.expat-dakar.com/annonce/cuisiniere-a-gaz-avec-etagere-4-feux-5443817;Cuisinière à Gaz Avec Étagère - 4 Feux;"Plateau
            
                Dakar";40?000 F Cfa;Neuf;https://i.roamcdn.net/hz/ed/listing-thumb-543w/e0e5ef0b46fe278ad66e70227c2e4134/-/horizon-files-prod/ed/picture/q2jjkknk/48006854483e48cce1925b2bbbf106b213cd3239.jpg
1750682298-9;https://www.expat-dakar.com/cuisinieres-fours?page=128;"FOUR ENCASTRABLE TECHNOLUX ELEC 60X60
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        lundi, 13:55
                                    
                    169?000 F Cfa
                        
                        783050985";https://www.expat-dakar.com/annonce/four-encastrable-technolux-elec-60x60-5459205;FOUR ENCASTRABLE TECHNOLUX ELEC 60X60;"Plateau
            
                Dakar";169?000 F Cfa;Neuf;https://i.roamcdn.net/hz/ed/listing-thumb-543w/07398107fcbabc1dc73f9b22b005b29d/-/horizon-files-prod/ed/picture/qngg7v0v/bb5bf3b52c93eb03155df1e6f3045c56e0081f09.jpg
1750682300-10;https://www.expat-dakar.com/cuisinieres-fours?page=128;"FOUR ENCASTRABLE A GAZ TECHNOLUX
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        2. avr., 16:51
                                    
                    359?000 F Cfa
                        
                        774714823";https://www.expat-dakar.com/annonce/four-encastrable-a-gaz-technolux-5459289;FOUR ENCASTRABLE A GAZ TECHNOLUX;"Plateau
            
                Dakar";359?000 F Cfa;Neuf;https://i.roamcdn.net/hz/ed/listing-thumb-543w/105c3dd1fdd1022dbca53ba514522862/-/horizon-files-prod/ed/picture/q788pqmm/624887494618a36d4d6833ce59f8410c7e580d60.jpg
