web-scraper-order;web-scraper-start-url;articles_links;articles_links-href;detail;etat;prix;adresse;image-src
1750688917-1;https://www.expat-dakar.com/machines-a-laver?page=91;"MICRO ONDE 20LITRES ROCH GRIS RMW20LP1MB(S)
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        Aujourd'hui, 11:44
                                    
                    49?000 F Cfa
                        
                        777510319
                    
                        777510319";https://www.expat-dakar.com/annonce/micro-onde-20litres-roch-gris-rmw20lp1mbs-6401856;MICRO ONDE 20LITRES ROCH GRIS RMW20LP1MB(S);Neuf;49?000 F Cfa;"Plateau
            
                Dakar";https://i.roamcdn.net/hz/ed/listing-thumb-543w/1a0e31b22d2bf593e7840e8f53d80577/-/horizon-files-prod/ed/picture/qm50vg8d/c985769c9239d37bf5d41a229dbe73c7fe561788.jpg
1750688920-2;https://www.expat-dakar.com/machines-a-laver?page=91;"MICRO ONDE 23LITRES ROCH GRIS RMW23LMGBS
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        Aujourd'hui, 11:48
                                    
                    64?000 F Cfa
                        
                        767335517";https://www.expat-dakar.com/annonce/micro-onde-23litres-roch-gris-rmw23lmgbs-6401865;MICRO ONDE 23LITRES ROCH GRIS RMW23LMGBS;Neuf;64?000 F Cfa;"Plateau
            
                Dakar";https://i.roamcdn.net/hz/ed/listing-thumb-543w/2e068f2da510bd2696d4e3e3878b739c/-/horizon-files-prod/ed/picture/qzv8rpgn/4da5b8fdc8e907a5b25af58dae4dc97e62f6a203.jpg
1750688922-3;https://www.expat-dakar.com/machines-a-laver?page=91;"MOCRO ONDE 25LITRES ROCH GRIS RMW25LC8ABS
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        Aujourd'hui, 11:51
                                    
                    69?000 F Cfa
                        
                        756335874";https://www.expat-dakar.com/annonce/mocro-onde-25litres-roch-gris-rmw25lc8abs-6401873;MOCRO ONDE 25LITRES ROCH GRIS RMW25LC8ABS;Neuf;69?000 F Cfa;"Plateau
            
                Dakar";https://i.roamcdn.net/hz/ed/listing-thumb-543w/bc0c42f58e7e465e310cf7e51860bbca/-/horizon-files-prod/ed/picture/qq4zwzqz/8ba234e9f57f1fa25773fde9e33e225d9e0a4f19.jpg
1750688924-4;https://www.expat-dakar.com/machines-a-laver?page=91;"MACHINE À LAVER 7KG SHARP GRIS ESFE710CZLW
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        Aujourd'hui, 12:01
                                    
                    210?000 F Cfa
                        
                        787352634";https://www.expat-dakar.com/annonce/machine-a-laver-7kg-sharp-gris-esfe710czlw-6401886;MACHINE À LAVER 7KG SHARP GRIS ESFE710CZLW;Neuf;210?000 F Cfa;"Plateau
            
                Dakar";https://i.roamcdn.net/hz/ed/listing-thumb-543w/f23898d5cf8fe430210e231431efd1a6/-/horizon-files-prod/ed/picture/qenrprd4/e9e74a03511c0d13d851a2adc51f4f0b93686ede.jpg
1750688927-5;https://www.expat-dakar.com/machines-a-laver?page=91;"VENTILATEUR BINATONE SUR PIED VS1656
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        Aujourd'hui, 12:08
                                    
                    23?000 F Cfa
                        
                        787962051";https://www.expat-dakar.com/annonce/ventilateur-binatone-sur-pied-vs1656-6401898;VENTILATEUR BINATONE SUR PIED VS1656;Neuf;23?000 F Cfa;"Plateau
            
                Dakar";https://i.roamcdn.net/hz/ed/listing-thumb-543w/d635e5fc21340ff5f323ac9d02343081/-/horizon-files-prod/ed/picture/qrzr6rzj/64e3bd60b564352cae05f07f57f2337be57f1345.jpg
1750688929-6;https://www.expat-dakar.com/machines-a-laver?page=91;"RÉFRIGÉRATEUR 251LITRES ROCH COMBINÉ 5TIROIRS
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        Aujourd'hui, 12:12
                                    
                    249?000 F Cfa
                        
                        774714823";https://www.expat-dakar.com/annonce/refrigerateur-251litres-roch-combine-5tiroirs-6401913;RÉFRIGÉRATEUR 251LITRES ROCH COMBINÉ 5TIROIRS;Neuf;249?000 F Cfa;"Plateau
            
                Dakar";https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c9cb700baeaa7977940d83047b99d7e/-/horizon-files-prod/ed/picture/qgqm4mgq/b490ed8a92be3f26f6c927fe27b1c0d8cc992e23.jpg
1750688931-7;https://www.expat-dakar.com/machines-a-laver?page=91;"MACHINE À LAVER 9KG SHARP TOP LOAD SEMI AUTOMATIQUE
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        Aujourd'hui, 12:18
                                    
                    159?000 F Cfa
                        
                        783860578";https://www.expat-dakar.com/annonce/machine-a-laver-9kg-sharp-top-load-semi-automatique-6401925;MACHINE À LAVER 9KG SHARP TOP LOAD SEMI AUTOMATIQUE;Neuf;159?000 F Cfa;"Plateau
            
                Dakar";https://i.roamcdn.net/hz/ed/listing-thumb-543w/207207c2fa93bed32f965f03b827f339/-/horizon-files-prod/ed/picture/q0gk8k2x/d46ed25815d69c75ec5f12ecd8788d15be2631e0.jpg
1750688934-8;https://www.expat-dakar.com/machines-a-laver?page=91;"SPLIT 12000BTU SHARP 1.5CV INVERTER R32
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        Aujourd'hui, 12:21
                                    
                    269?000 F Cfa
                        
                        770723466";https://www.expat-dakar.com/annonce/split-12000btu-sharp-15cv-inverter-r32-6401931;SPLIT 12000BTU SHARP 1.5CV INVERTER R32;Neuf;269?000 F Cfa;"Plateau
            
                Dakar";https://i.roamcdn.net/hz/ed/listing-thumb-543w/db201a71101875c4026009f2f74b5330/-/horizon-files-prod/ed/picture/q445r5dz/110aae95d4a1ae97162aa7e4e0faa7c502abe9fc.jpg
1750688936-9;https://www.expat-dakar.com/machines-a-laver?page=91;"congelateur Haier
                                D'occasion
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        Aujourd'hui, 12:37
                                    
                    265?000 F Cfa
                        
                        781789189";https://www.expat-dakar.com/annonce/congelateur-haier-6383889;congelateur Haier;D'occasion;265?000 F Cfa;"Grand-Dakar
            
                Dakar";https://i.roamcdn.net/hz/ed/listing-thumb-543w/60ce2cbad3d42e7f47e324af2ad389f0/-/horizon-files-prod/ed/picture/q78jjm2z/7c96e4821352d66eee391e6982e2e778be600d7b.jpg
1750688938-10;https://www.expat-dakar.com/machines-a-laver?page=91;"machine à laver roch 7kg a+++
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        Aujourd'hui, 13:04
                                    
            164?900 F Cfa
        
                    180?000 F Cfa
                        
            Économisez 8.4%
        
                        770521414
                    
                        709557473";https://www.expat-dakar.com/annonce/machine-a-laver-roch-7kg-a-6357047;machine à laver roch 7kg a+++;Neuf;180?000 F Cfa;"Ouakam
            
                Dakar";https://i.roamcdn.net/hz/ed/listing-thumb-543w/e25f5f67256d068705cd56600b209620/-/horizon-files-prod/ed/picture/q0gkwp96/113a6d67d82b0a02260d729fb5ffb6edf9094920.jpg
